             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          59576705 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576704 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576703 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576702 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576701 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576700 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576699 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576698 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576697 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576696 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576695 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576694 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576693 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576692 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576691 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576690 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576689 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576688 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576687 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576686 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576685 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576684 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576683 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576682 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576681 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576680 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576679 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576678 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576677 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576676 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576675 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576674 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576673 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576672 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576671 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576670 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576669 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576668 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576667 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576666 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576665 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576664 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576663 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576662 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576661 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576660 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576659 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576658 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576657 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576656 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576655 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576654 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576653 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576652 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576651 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576650 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576649 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576648 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576647 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576646 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576645 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576644 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576643 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576642 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576641 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576640 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576639 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576638 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576637 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576636 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576635 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576634 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576633 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576632 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576631 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576630 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576629 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576628 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576627 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576626 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576625 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576624 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576623 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576622 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576621 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576620 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576619 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576618 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576617 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576616 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576615 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576614 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576613 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576612 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576611 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576610 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576609 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576608 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576607 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576606 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576605 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576604 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576603 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576602 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576601 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576600 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576599 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576598 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576597 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576596 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576595 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576594 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576593 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576592 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576591 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576590 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576589 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576588 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576587 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576586 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576585 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576584 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576583 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576582 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576581 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576580 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576579 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576578 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576577 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576576 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576575 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576574 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576573 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576572 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576571 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576570 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576569 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576568 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576567 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576566 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576565 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576564 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576563 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576562 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576561 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576560 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576559 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576558 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576557 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576556 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576555 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576554 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576553 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576552 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576551 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576550 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576549 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576548 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576547 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576546 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
          59576545 cclake-hi   cpujob    apg59 PD       0:00      1 (Priority)
